,time(s),pressure_1(bar),main_pressure(bar),venturi_pressure_1(bar),venturi_pressure_2(bar),venturi_pressure_3(bar),venturi_pressure_4(bar),venturi_pressure_5(bar),pump_speed(rpm),water_temp(c),reserved,outlet_flowrate(lpm),inlet_flowrate(lpm),test_case,test_case_iter,nozzle_len(mm),nozzle_dia(mm),venturi_dist(mm)
65785,125.0,-0.13,1.78,1.94,0.03,0.03,-0.02,0.12,1196.26,30.14,0.0,775.74,-2.31,13.0,3.0,12.0,20.0,30.0
65786,125.1,-0.27,1.89,1.88,0.04,0.08,0.04,0.1,1205.73,30.16,0.0,775.23,-2.84,13.0,3.0,12.0,20.0,30.0
65787,125.2,-0.18,1.83,1.93,0.09,0.08,0.03,0.08,1199.97,30.17,0.0,776.21,-2.67,13.0,3.0,12.0,20.0,30.0
65788,125.3,-0.13,1.93,1.9,0.03,0.02,-0.0,0.13,1200.16,30.18,0.0,776.7,-2.33,13.0,3.0,12.0,20.0,30.0
65789,125.4,-0.26,1.98,1.88,0.04,0.08,0.08,0.14,1206.47,30.17,0.0,776.61,-2.3,13.0,3.0,12.0,20.0,30.0
65790,125.5,-0.17,1.99,1.95,0.09,0.06,0.02,0.04,1202.14,30.15,0.0,776.65,-2.43,13.0,3.0,12.0,20.0,30.0
65791,125.6,-0.14,2.09,1.93,0.02,0.02,-0.01,0.07,1216.86,30.15,0.0,775.83,-2.67,13.0,3.0,12.0,20.0,30.0
65792,125.7,-0.25,1.98,1.89,0.04,0.07,0.08,0.15,1218.37,30.17,0.0,775.04,-2.53,13.0,3.0,12.0,20.0,30.0
65793,125.8,-0.18,1.8,1.96,0.08,0.06,0.02,0.07,1208.62,30.18,0.0,776.44,-2.53,13.0,3.0,12.0,20.0,30.0
65794,125.9,-0.15,2.06,1.91,0.01,0.03,0.02,0.07,1216.15,30.19,0.0,775.21,-2.38,13.0,3.0,12.0,20.0,30.0
65795,126.0,-0.23,1.81,1.89,0.04,0.07,0.05,0.11,1217.14,30.12,0.0,775.7,-2.74,13.0,3.0,12.0,20.0,30.0
65796,126.1,-0.18,1.89,1.95,0.09,0.07,-0.03,0.02,1210.26,30.13,0.0,775.64,-2.58,13.0,3.0,12.0,20.0,30.0
65797,126.2,-0.15,2.23,1.91,0.01,0.03,-0.03,0.1,1216.38,30.13,0.0,775.7,-2.43,13.0,3.0,12.0,20.0,30.0
65798,126.3,-0.21,1.77,1.9,0.04,0.07,0.01,0.1,1218.41,30.14,0.0,774.98,-2.21,13.0,3.0,12.0,20.0,30.0
65799,126.4,-0.17,1.9,1.94,0.08,0.06,0.01,0.06,1208.85,30.14,0.0,775.74,-2.69,13.0,3.0,12.0,20.0,30.0
65800,126.5,-0.17,2.03,1.9,0.01,0.02,0.02,0.07,1214.83,30.15,0.0,775.9,-2.66,13.0,3.0,12.0,20.0,30.0
65801,126.6,-0.19,1.53,1.9,0.03,0.07,0.07,0.13,1223.92,30.14,0.0,776.31,-2.58,13.0,3.0,12.0,20.0,30.0
65802,126.7,-0.17,1.9,1.94,0.08,0.08,-0.01,0.06,1206.79,30.14,0.0,775.73,-2.26,13.0,3.0,12.0,20.0,30.0
65803,126.8,-0.18,2.07,1.92,0.01,0.02,0.01,0.08,1213.91,30.15,0.0,775.26,-2.31,13.0,3.0,12.0,20.0,30.0
65804,126.9,-0.18,1.7,1.91,0.04,0.08,0.06,0.12,1223.03,30.15,0.0,775.1,-2.66,13.0,3.0,12.0,20.0,30.0
65805,127.0,-0.18,1.92,1.95,0.07,0.07,-0.08,0.04,1208.7,30.14,0.0,776.05,-2.88,13.0,3.0,12.0,20.0,30.0
65806,127.1,-0.17,2.06,1.9,0.0,0.03,0.01,0.09,1215.67,30.17,0.0,776.44,-2.36,13.0,3.0,12.0,20.0,30.0
65807,127.2,-0.19,1.78,1.91,0.05,0.08,0.06,0.09,1218.15,30.11,0.0,775.26,-2.28,13.0,3.0,12.0,20.0,30.0
65808,127.3,-0.18,1.97,1.94,0.08,0.06,0.01,0.06,1208.94,30.13,0.0,776.68,-2.3,13.0,3.0,12.0,20.0,30.0
65809,127.4,-0.19,1.69,1.92,0.01,0.03,0.04,0.1,1192.73,30.1,0.0,775.61,-2.84,13.0,3.0,12.0,20.0,30.0
65810,127.5,-0.16,1.89,1.9,0.06,0.1,0.06,0.11,1182.85,30.12,0.0,776.83,-2.57,13.0,3.0,12.0,20.0,30.0
65811,127.6,-0.17,2.07,1.93,0.08,0.06,-0.04,0.04,1180.5,30.11,0.0,776.32,-2.34,13.0,3.0,12.0,20.0,30.0
65812,127.7,-0.2,1.95,1.89,0.02,0.03,0.04,0.09,1191.98,30.14,0.0,776.61,-2.24,13.0,3.0,12.0,20.0,30.0
65813,127.8,-0.14,2.11,1.89,0.05,0.08,0.08,0.11,1183.22,30.11,0.0,776.17,-2.74,13.0,3.0,12.0,20.0,30.0
65814,127.9,-0.16,2.12,1.94,0.07,0.07,-0.02,0.06,1178.22,30.13,0.0,777.22,-2.7,13.0,3.0,12.0,20.0,30.0
65815,128.0,-0.2,1.83,1.89,-0.0,0.02,0.02,0.13,1193.76,30.13,0.0,776.85,-2.75,13.0,3.0,12.0,20.0,30.0
65816,128.1,-0.11,2.08,1.9,0.06,0.09,0.07,0.11,1184.48,30.14,0.0,777.58,-2.14,13.0,3.0,12.0,20.0,30.0
65817,128.2,-0.16,1.99,1.94,0.07,0.07,0.02,0.06,1180.43,30.14,0.0,776.71,-2.5,13.0,3.0,12.0,20.0,30.0
65818,128.3,-0.21,1.86,1.89,0.01,0.03,-0.01,0.07,1194.43,30.14,0.0,776.54,-2.84,13.0,3.0,12.0,20.0,30.0
65819,128.4,-0.13,1.94,1.91,0.05,0.08,0.08,0.11,1183.06,30.13,0.0,777.28,-2.86,13.0,3.0,12.0,20.0,30.0
65820,128.5,-0.15,1.89,1.94,0.09,0.06,0.01,0.06,1179.03,30.15,0.0,777.65,-2.28,13.0,3.0,12.0,20.0,30.0
65821,128.6,-0.23,1.99,1.89,0.0,0.03,0.0,0.11,1194.0,30.1,0.0,777.47,-2.33,13.0,3.0,12.0,20.0,30.0
65822,128.7,-0.12,1.97,1.9,0.05,0.08,0.09,0.12,1183.41,30.1,0.0,777.21,-2.57,13.0,3.0,12.0,20.0,30.0
65823,128.8,-0.14,1.87,1.94,0.07,0.05,-0.02,0.03,1181.46,30.1,0.0,777.43,-2.97,13.0,3.0,12.0,20.0,30.0
65824,128.9,-0.24,2.06,1.89,0.01,0.02,0.01,0.09,1211.99,30.09,0.0,778.02,-2.41,13.0,3.0,12.0,20.0,30.0
65825,129.0,-0.12,1.88,1.91,0.08,0.1,0.12,0.11,1201.56,30.1,0.0,777.57,-2.32,13.0,3.0,12.0,20.0,30.0
65826,129.1,-0.15,1.85,1.95,0.07,0.06,-0.02,0.07,1201.32,30.1,0.0,777.89,-2.3,13.0,3.0,12.0,20.0,30.0
65827,129.2,-0.23,2.15,1.9,0.02,0.02,0.07,0.1,1210.39,30.12,0.0,776.51,-2.69,13.0,3.0,12.0,20.0,30.0
65828,129.3,-0.13,1.85,1.91,0.06,0.08,0.06,0.11,1201.76,30.11,0.0,777.25,-2.74,13.0,3.0,12.0,20.0,30.0
65829,129.4,-0.15,1.95,1.93,0.08,0.05,-0.02,0.05,1196.68,30.13,0.0,777.83,-2.49,13.0,3.0,12.0,20.0,30.0
65830,129.5,-0.25,2.16,1.9,0.02,0.03,0.05,0.11,1212.08,30.12,0.0,778.36,-2.29,13.0,3.0,12.0,20.0,30.0
65831,129.6,-0.12,1.72,1.89,0.08,0.09,0.06,0.11,1201.59,30.12,0.0,777.28,-2.48,13.0,3.0,12.0,20.0,30.0
65832,129.7,-0.14,1.87,1.94,0.07,0.05,-0.04,0.07,1200.36,30.1,0.0,777.34,-2.71,13.0,3.0,12.0,20.0,30.0
65833,129.8,-0.24,1.98,1.9,-0.0,0.05,0.01,0.12,1212.23,30.12,0.0,777.09,-2.71,13.0,3.0,12.0,20.0,30.0
65834,129.9,-0.14,1.73,1.9,0.05,0.08,0.05,0.11,1204.4,30.14,0.0,778.41,-2.51,13.0,3.0,12.0,20.0,30.0
65835,130.0,-0.14,1.9,1.93,0.09,0.04,-0.0,0.05,1199.37,30.15,0.0,778.04,-2.36,13.0,3.0,12.0,20.0,30.0
65836,130.1,-0.25,1.99,1.89,0.0,0.04,0.01,0.1,1213.41,30.13,0.0,777.64,-2.6,13.0,3.0,12.0,20.0,30.0
65837,130.2,-0.16,1.79,1.9,0.07,0.08,0.07,0.11,1201.73,30.07,0.0,776.5,-2.85,13.0,3.0,12.0,20.0,30.0
65838,130.3,-0.14,2.03,1.94,0.06,0.06,0.03,0.06,1201.43,30.06,0.0,777.12,-2.39,13.0,3.0,12.0,20.0,30.0
65839,130.4,-0.26,1.76,1.89,0.02,0.02,0.05,0.1,1210.18,30.08,0.0,777.44,-2.31,13.0,3.0,12.0,20.0,30.0
65840,130.5,-0.15,1.75,1.9,0.05,0.08,0.04,0.09,1202.03,30.1,0.0,778.2,-2.3,13.0,3.0,12.0,20.0,30.0
65841,130.6,-0.13,2.07,1.94,0.07,0.04,-0.01,0.05,1200.01,30.1,0.0,777.66,-2.84,13.0,3.0,12.0,20.0,30.0
65842,130.7,-0.27,1.65,1.89,0.0,0.03,0.05,0.12,1211.99,30.1,0.0,777.59,-2.51,13.0,3.0,12.0,20.0,30.0
65843,130.8,-0.16,1.92,1.92,0.07,0.09,0.08,0.08,1204.35,30.11,0.0,776.55,-2.41,13.0,3.0,12.0,20.0,30.0
65844,130.9,-0.11,2.12,1.95,0.08,0.04,-0.02,0.07,1199.95,30.11,0.0,776.75,-2.21,13.0,3.0,12.0,20.0,30.0
65845,131.0,-0.27,1.56,1.89,0.01,0.03,-0.01,0.1,1213.37,30.1,0.0,775.81,-2.46,13.0,3.0,12.0,20.0,30.0
65846,131.1,-0.16,2.05,1.89,0.07,0.09,0.06,0.08,1200.36,30.1,0.0,777.54,-2.81,13.0,3.0,12.0,20.0,30.0
65847,131.2,-0.11,2.04,1.95,0.06,0.06,-0.01,0.08,1201.71,30.11,0.0,776.79,-2.63,13.0,3.0,12.0,20.0,30.0
65848,131.3,-0.28,1.81,1.89,0.02,0.05,0.04,0.1,1210.36,30.12,0.0,777.93,-2.16,13.0,3.0,12.0,20.0,30.0
65849,131.4,-0.17,1.84,1.92,0.07,0.08,0.08,0.11,1202.17,30.12,0.0,775.67,-2.27,13.0,3.0,12.0,20.0,30.0
65850,131.5,-0.11,1.89,1.96,0.07,0.03,-0.04,0.07,1193.32,30.11,0.0,776.95,-2.72,13.0,3.0,12.0,20.0,30.0
65851,131.6,-0.29,1.97,1.89,0.01,0.03,0.02,0.11,1210.47,30.11,0.0,776.93,-2.94,13.0,3.0,12.0,20.0,30.0
65852,131.7,-0.19,1.83,1.91,0.09,0.09,0.03,0.06,1199.65,30.12,0.0,778.26,-2.6,13.0,3.0,12.0,20.0,30.0
65853,131.8,-0.13,1.73,1.97,0.08,0.05,-0.03,0.04,1198.9,30.12,0.0,776.87,-2.22,13.0,3.0,12.0,20.0,30.0
65854,131.9,-0.28,2.01,1.87,0.0,0.03,0.04,0.13,1209.14,30.12,0.0,775.89,-2.56,13.0,3.0,12.0,20.0,30.0
65855,132.0,-0.19,1.76,1.92,0.08,0.09,0.08,0.09,1199.47,30.07,0.0,774.84,-2.78,13.0,3.0,12.0,20.0,30.0
65856,132.1,-0.14,2.07,1.93,0.06,0.03,-0.02,0.06,1197.33,30.09,0.0,776.74,-2.73,13.0,3.0,12.0,20.0,30.0
65857,132.2,-0.28,1.94,1.9,0.0,0.03,0.03,0.11,1208.24,30.07,0.0,777.23,-2.3,13.0,3.0,12.0,20.0,30.0
65858,132.3,-0.17,1.81,1.92,0.07,0.09,0.03,0.08,1198.94,30.09,0.0,778.35,-2.33,13.0,3.0,12.0,20.0,30.0
65859,132.4,-0.15,1.91,1.94,0.07,0.05,-0.03,0.07,1194.76,30.09,0.0,776.47,-2.55,13.0,3.0,12.0,20.0,30.0
65860,132.5,-0.27,2.01,1.88,0.02,0.05,0.07,0.14,1208.83,30.11,0.0,775.77,-2.62,13.0,3.0,12.0,20.0,30.0
65861,132.6,-0.18,1.81,1.91,0.07,0.08,0.06,0.09,1199.43,30.08,0.0,775.8,-2.67,13.0,3.0,12.0,20.0,30.0
65862,132.7,-0.14,1.73,1.94,0.07,0.03,-0.03,0.07,1197.35,30.11,0.0,776.66,-2.16,13.0,3.0,12.0,20.0,30.0
65863,132.8,-0.26,1.93,1.9,0.01,0.04,0.02,0.12,1209.15,30.09,0.0,777.06,-2.49,13.0,3.0,12.0,20.0,30.0
65864,132.9,-0.18,1.85,1.91,0.07,0.08,0.05,0.09,1199.42,30.09,0.0,777.01,-2.84,13.0,3.0,12.0,20.0,30.0
65865,133.0,-0.15,1.85,1.95,0.05,0.04,-0.03,0.08,1194.55,30.09,0.0,776.76,-2.84,13.0,3.0,12.0,20.0,30.0
65866,133.1,-0.25,1.8,1.9,0.0,0.05,0.04,0.11,1208.61,30.12,0.0,775.8,-2.36,13.0,3.0,12.0,20.0,30.0
65867,133.2,-0.18,1.76,1.91,0.07,0.09,0.04,0.04,1209.54,30.18,0.0,775.77,-2.16,13.0,3.0,12.0,20.0,30.0
65868,133.3,-0.15,2.01,1.93,0.06,0.02,-0.04,0.05,1208.67,30.17,0.0,776.05,-2.59,13.0,3.0,12.0,20.0,30.0
65869,133.4,-0.23,1.69,1.88,0.01,0.04,0.02,0.15,1222.87,30.17,0.0,776.61,-2.86,13.0,3.0,12.0,20.0,30.0
65870,133.5,-0.18,1.76,1.91,0.09,0.08,0.07,0.1,1207.16,30.16,0.0,776.81,-2.66,13.0,3.0,12.0,20.0,30.0
65871,133.6,-0.17,2.05,1.94,0.04,0.03,0.02,0.07,1210.17,30.17,0.0,777.17,-2.19,13.0,3.0,12.0,20.0,30.0
65872,133.7,-0.22,1.7,1.88,0.0,0.05,0.05,0.13,1227.18,30.17,0.0,775.57,-2.24,13.0,3.0,12.0,20.0,30.0
65873,133.8,-0.19,1.82,1.93,0.08,0.08,0.01,0.1,1205.8,30.18,0.0,775.08,-2.73,13.0,3.0,12.0,20.0,30.0
65874,133.9,-0.17,2.1,1.95,0.05,0.02,-0.01,0.08,1212.19,30.13,0.0,774.95,-2.89,13.0,3.0,12.0,20.0,30.0
65875,134.0,-0.19,1.57,1.89,-0.0,0.05,0.07,0.12,1222.89,30.15,0.0,775.21,-2.45,13.0,3.0,12.0,20.0,30.0
65876,134.1,-0.19,1.84,1.91,0.08,0.09,0.06,0.08,1209.31,30.13,0.0,775.57,-2.22,13.0,3.0,12.0,20.0,30.0
65877,134.2,-0.18,2.01,1.95,0.04,0.04,-0.02,0.08,1210.29,30.14,0.0,775.37,-2.3,13.0,3.0,12.0,20.0,30.0
65878,134.3,-0.18,1.67,1.88,0.01,0.08,0.07,0.12,1228.04,30.14,0.0,773.98,-2.81,13.0,3.0,12.0,20.0,30.0
65879,134.4,-0.18,1.93,1.93,0.08,0.11,0.03,0.05,1206.92,30.13,0.0,772.71,-2.84,13.0,3.0,12.0,20.0,30.0
65880,134.5,-0.19,2.16,1.94,0.03,0.03,-0.05,0.1,1211.0,30.16,0.0,773.13,-2.26,13.0,3.0,12.0,20.0,30.0
65881,134.6,-0.17,1.69,1.88,0.01,0.04,0.05,0.12,1222.5,30.16,0.0,773.57,-2.27,13.0,3.0,12.0,20.0,30.0
65882,134.7,-0.18,1.85,1.93,0.09,0.08,0.04,0.08,1207.98,30.17,0.0,774.02,-2.5,13.0,3.0,12.0,20.0,30.0
65883,134.8,-0.2,1.97,1.95,0.04,0.05,-0.02,0.08,1210.24,30.17,0.0,773.27,-2.88,13.0,3.0,12.0,20.0,30.0
65884,134.9,-0.15,1.82,1.89,0.01,0.05,0.05,0.1,1228.34,30.16,0.0,772.93,-2.48,13.0,3.0,12.0,20.0,30.0
65885,135.0,-0.19,1.9,1.93,0.08,0.08,0.02,0.09,1205.59,30.15,0.0,772.83,-2.38,13.0,3.0,12.0,20.0,30.0
65886,135.1,-0.2,2.09,1.93,0.03,0.03,-0.03,0.06,1211.22,30.16,0.0,772.79,-2.25,13.0,3.0,12.0,20.0,30.0
65887,135.2,-0.14,1.86,1.89,0.01,0.06,0.07,0.13,1186.29,30.17,0.0,771.75,-2.81,13.0,3.0,12.0,20.0,30.0
65888,135.3,-0.18,1.94,1.92,0.08,0.08,0.05,0.06,1172.77,30.17,0.0,772.16,-2.65,13.0,3.0,12.0,20.0,30.0
65889,135.4,-0.21,1.84,1.93,0.02,0.02,-0.02,0.07,1192.96,30.18,0.0,771.95,-2.41,13.0,3.0,12.0,20.0,30.0
65890,135.5,-0.12,1.98,1.9,0.01,0.05,0.07,0.15,1187.83,30.17,0.0,771.91,-2.29,13.0,3.0,12.0,20.0,30.0
65891,135.6,-0.18,2.03,1.95,0.08,0.08,0.06,0.07,1173.4,30.17,0.0,771.88,-2.54,13.0,3.0,12.0,20.0,30.0
65892,135.7,-0.2,1.76,1.93,0.02,0.03,0.04,0.07,1192.67,30.18,0.0,771.3,-2.88,13.0,3.0,12.0,20.0,30.0
65893,135.8,-0.12,2.05,1.88,0.01,0.06,0.07,0.11,1186.93,30.19,0.0,769.69,-2.64,13.0,3.0,12.0,20.0,30.0
65894,135.9,-0.18,1.97,1.94,0.1,0.07,0.03,0.06,1173.11,30.18,0.0,771.78,-2.38,13.0,3.0,12.0,20.0,30.0
65895,136.0,-0.21,1.81,1.94,0.03,0.03,0.03,0.06,1192.92,30.2,0.0,771.34,-2.23,13.0,3.0,12.0,20.0,30.0
65896,136.1,-0.1,1.91,1.88,0.02,0.06,0.05,0.11,1188.92,30.13,0.0,771.7,-2.8,13.0,3.0,12.0,20.0,30.0
65897,136.2,-0.18,2.04,1.93,0.08,0.09,0.02,0.05,1172.19,30.14,0.0,771.1,-2.88,13.0,3.0,12.0,20.0,30.0
65898,136.3,-0.21,1.86,1.92,0.02,0.03,-0.03,0.05,1193.47,30.12,0.0,771.34,-2.44,13.0,3.0,12.0,20.0,30.0
65899,136.4,-0.11,1.91,1.89,0.03,0.06,0.1,0.15,1187.18,30.16,0.0,770.13,-2.26,13.0,3.0,12.0,20.0,30.0
65900,136.5,-0.19,2.03,1.92,0.08,0.07,0.07,0.09,1173.3,30.16,0.0,771.92,-2.31,13.0,3.0,12.0,20.0,30.0
65901,136.6,-0.23,1.91,1.93,0.02,0.03,-0.02,0.1,1212.24,30.15,0.0,770.59,-2.83,13.0,3.0,12.0,20.0,30.0
65902,136.7,-0.1,1.78,1.89,0.03,0.06,0.07,0.13,1203.57,30.14,0.0,770.65,-2.88,13.0,3.0,12.0,20.0,30.0
65903,136.8,-0.18,1.75,1.93,0.08,0.07,0.05,0.04,1197.16,30.15,0.0,770.71,-2.4,13.0,3.0,12.0,20.0,30.0
65904,136.9,-0.23,2.06,1.92,0.02,0.03,0.01,0.07,1213.82,30.15,0.0,771.34,-2.09,13.0,3.0,12.0,20.0,30.0
65905,137.0,-0.1,1.84,1.89,0.02,0.07,0.1,0.12,1201.26,30.17,0.0,769.34,-2.38,13.0,3.0,12.0,20.0,30.0
65906,137.1,-0.19,1.78,1.94,0.08,0.07,0.04,0.1,1192.98,30.16,0.0,770.93,-2.82,13.0,3.0,12.0,20.0,30.0
65907,137.2,-0.22,2.08,1.92,0.02,0.03,0.03,0.09,1213.53,30.16,0.0,770.01,-2.8,13.0,3.0,12.0,20.0,30.0
65908,137.3,-0.13,1.84,1.89,0.03,0.07,0.07,0.12,1201.81,30.15,0.0,772.04,-2.39,13.0,3.0,12.0,20.0,30.0
65909,137.4,-0.2,1.99,1.94,0.09,0.07,0.0,0.07,1197.5,30.17,0.0,771.04,-2.39,13.0,3.0,12.0,20.0,30.0
65910,137.5,-0.21,2.22,1.92,0.01,0.03,0.0,0.09,1213.99,30.17,0.0,771.17,-2.72,13.0,3.0,12.0,20.0,30.0
65911,137.6,-0.14,1.71,1.89,0.04,0.07,0.09,0.12,1202.63,30.2,0.0,770.33,-2.75,13.0,3.0,12.0,20.0,30.0
65912,137.7,-0.2,1.93,1.95,0.09,0.06,0.09,0.06,1197.73,30.16,0.0,770.28,-2.35,13.0,3.0,12.0,20.0,30.0
65913,137.8,-0.22,1.98,1.92,0.03,0.03,-0.01,0.08,1213.76,30.19,0.0,771.51,-2.27,13.0,3.0,12.0,20.0,30.0
65914,137.9,-0.14,1.86,1.89,0.04,0.06,0.09,0.11,1203.8,30.16,0.0,770.5,-2.6,13.0,3.0,12.0,20.0,30.0
65915,138.0,-0.19,2.06,1.95,0.11,0.07,0.02,0.07,1197.75,30.17,0.0,770.68,-2.95,13.0,3.0,12.0,20.0,30.0
65916,138.1,-0.22,2.0,1.91,0.0,0.02,0.0,0.11,1208.39,30.17,0.0,769.91,-2.55,13.0,3.0,12.0,20.0,30.0
65917,138.2,-0.14,1.8,1.89,0.05,0.07,0.05,0.12,1203.55,30.2,0.0,771.53,-2.22,13.0,3.0,12.0,20.0,30.0
65918,138.3,-0.18,2.0,1.94,0.08,0.06,0.06,0.05,1197.89,30.18,0.0,771.69,-2.25,13.0,3.0,12.0,20.0,30.0
65919,138.4,-0.23,1.69,1.91,0.02,0.03,0.01,0.1,1213.57,30.19,0.0,771.46,-2.69,13.0,3.0,12.0,20.0,30.0
65920,138.5,-0.13,1.86,1.87,0.04,0.07,0.02,0.1,1201.04,30.19,0.0,770.34,-3.05,13.0,3.0,12.0,20.0,30.0
65921,138.6,-0.19,1.91,1.93,0.09,0.06,-0.0,0.03,1197.6,30.2,0.0,770.35,-2.74,13.0,3.0,12.0,20.0,30.0
65922,138.7,-0.23,1.67,1.93,0.01,0.02,-0.02,0.09,1213.51,30.13,0.0,770.55,-2.12,13.0,3.0,12.0,20.0,30.0
65923,138.8,-0.13,1.97,1.87,0.05,0.07,0.04,0.12,1201.39,30.15,0.0,771.56,-2.33,13.0,3.0,12.0,20.0,30.0
65924,138.9,-0.19,2.02,1.95,0.08,0.06,-0.02,0.08,1192.79,30.15,0.0,772.7,-2.72,13.0,3.0,12.0,20.0,30.0
65925,139.0,-0.24,1.71,1.89,0.02,0.02,0.02,0.1,1214.21,30.15,0.0,771.88,-2.91,13.0,3.0,12.0,20.0,30.0
65926,139.1,-0.13,1.9,1.88,0.04,0.08,0.06,0.12,1201.41,30.16,0.0,770.73,-2.23,13.0,3.0,12.0,20.0,30.0
65927,139.2,-0.18,1.98,1.95,0.09,0.06,0.0,0.06,1192.61,30.16,0.0,770.63,-2.19,13.0,3.0,12.0,20.0,30.0
65928,139.3,-0.26,1.7,1.91,0.01,0.02,0.04,0.11,1208.96,30.16,0.0,771.23,-2.44,13.0,3.0,12.0,20.0,30.0
65929,139.4,-0.15,1.96,1.88,0.05,0.09,0.05,0.1,1200.45,30.16,0.0,771.4,-2.93,13.0,3.0,12.0,20.0,30.0
65930,139.5,-0.19,2.07,1.94,0.08,0.06,-0.0,0.05,1194.45,30.16,0.0,772.24,-2.55,13.0,3.0,12.0,20.0,30.0
65931,139.6,-0.26,1.81,1.91,0.01,0.02,0.02,0.1,1208.53,30.18,0.0,771.53,-2.21,13.0,3.0,12.0,20.0,30.0
65932,139.7,-0.15,1.86,1.9,0.05,0.08,0.09,0.13,1197.58,30.17,0.0,771.65,-2.21,13.0,3.0,12.0,20.0,30.0
65933,139.8,-0.22,1.92,1.96,0.08,0.06,-0.01,0.08,1191.09,30.19,0.0,771.21,-2.62,13.0,3.0,12.0,20.0,30.0
65934,139.9,-0.25,1.95,1.9,0.01,0.03,-0.01,0.12,1208.69,30.17,0.0,771.54,-2.93,13.0,3.0,12.0,20.0,30.0
65935,140.0,-0.13,1.86,1.9,0.05,0.07,0.1,0.13,1200.6,30.18,0.0,772.39,-2.55,13.0,3.0,12.0,20.0,30.0
65936,140.1,-0.21,2.14,1.95,0.09,0.06,-0.01,0.06,1194.31,30.17,0.0,773.28,-2.35,13.0,3.0,12.0,20.0,30.0
65937,140.2,-0.26,2.14,1.89,0.01,0.03,-0.06,0.09,1210.0,30.2,0.0,773.36,-2.46,13.0,3.0,12.0,20.0,30.0
65938,140.3,-0.12,1.61,1.9,0.06,0.08,0.05,0.11,1197.68,30.18,0.0,772.1,-2.99,13.0,3.0,12.0,20.0,30.0
65939,140.4,-0.22,1.79,1.95,0.08,0.06,0.01,0.07,1191.06,30.2,0.0,771.38,-2.64,13.0,3.0,12.0,20.0,30.0
65940,140.5,-0.25,2.16,1.91,0.0,0.03,0.01,0.11,1208.97,30.18,0.0,772.41,-2.48,13.0,3.0,12.0,20.0,30.0
65941,140.6,-0.13,1.75,1.89,0.06,0.08,0.09,0.11,1200.71,30.19,0.0,772.4,-2.27,13.0,3.0,12.0,20.0,30.0
65942,140.7,-0.22,1.86,1.95,0.07,0.07,-0.01,0.08,1194.47,30.2,0.0,774.25,-2.76,13.0,3.0,12.0,20.0,30.0
65943,140.8,-0.23,1.9,1.9,-0.0,0.05,-0.0,0.09,1208.74,30.21,0.0,772.02,-2.72,13.0,3.0,12.0,20.0,30.0
65944,140.9,-0.13,1.74,1.89,0.06,0.08,0.07,0.1,1200.93,30.21,0.0,772.27,-2.51,13.0,3.0,12.0,20.0,30.0
65945,141.0,-0.22,2.0,1.97,0.07,0.05,0.05,0.07,1207.19,30.2,0.0,772.13,-2.13,13.0,3.0,12.0,20.0,30.0
65946,141.1,-0.24,1.83,1.89,0.0,0.02,0.01,0.11,1222.94,30.21,0.0,773.11,-2.25,13.0,3.0,12.0,20.0,30.0
65947,141.2,-0.14,1.84,1.91,0.06,0.08,0.06,0.12,1211.65,30.2,0.0,772.25,-2.8,13.0,3.0,12.0,20.0,30.0
65948,141.3,-0.2,2.06,1.96,0.08,0.05,0.04,0.09,1203.74,30.21,0.0,773.06,-2.94,13.0,3.0,12.0,20.0,30.0
65949,141.4,-0.24,1.86,1.88,0.01,0.03,0.01,0.12,1223.2,30.22,0.0,771.64,-2.24,13.0,3.0,12.0,20.0,30.0
65950,141.5,-0.13,1.8,1.89,0.07,0.07,0.11,0.12,1208.77,30.21,0.0,771.44,-2.16,13.0,3.0,12.0,20.0,30.0
65951,141.6,-0.18,2.16,1.96,0.06,0.05,0.02,0.07,1205.22,30.23,0.0,772.25,-2.32,13.0,3.0,12.0,20.0,30.0
65952,141.7,-0.22,1.61,1.89,-0.0,0.04,0.0,0.12,1227.15,30.2,0.0,770.81,-2.91,13.0,3.0,12.0,20.0,30.0
65953,141.8,-0.16,1.92,1.9,0.06,0.08,0.05,0.11,1207.63,30.17,0.0,771.62,-2.61,13.0,3.0,12.0,20.0,30.0
65954,141.9,-0.16,2.05,1.96,0.06,0.05,0.04,0.08,1204.84,30.16,0.0,771.44,-2.3,13.0,3.0,12.0,20.0,30.0
65955,142.0,-0.2,1.61,1.9,0.0,0.03,0.02,0.12,1223.03,30.17,0.0,769.93,-2.33,13.0,3.0,12.0,20.0,30.0
65956,142.1,-0.17,1.93,1.91,0.05,0.09,0.0,0.08,1208.95,30.18,0.0,769.3,-2.76,13.0,3.0,12.0,20.0,30.0
65957,142.2,-0.16,1.97,1.96,0.07,0.05,-0.02,0.06,1205.25,30.2,0.0,770.54,-2.82,13.0,3.0,12.0,20.0,30.0
65958,142.3,-0.19,1.76,1.91,0.0,0.03,0.01,0.12,1225.15,30.19,0.0,770.22,-2.47,13.0,3.0,12.0,20.0,30.0
65959,142.4,-0.18,1.9,1.92,0.06,0.08,0.05,0.1,1207.59,30.18,0.0,769.74,-2.03,13.0,3.0,12.0,20.0,30.0
65960,142.5,-0.17,1.83,1.96,0.05,0.04,-0.04,0.03,1207.23,30.19,0.0,769.26,-2.5,13.0,3.0,12.0,20.0,30.0
